"Year","Month","Day","Hour","Temp_15cm"
2014,4,30,18,16.2
2014,4,30,19,15.8
2014,4,30,20,15.6
2014,4,30,21,15.45
2014,4,30,22,15.3
2014,4,30,23,15.4
2014,5,1,0,15.15
2014,5,1,1,15.3
2014,5,1,2,15.45
2014,5,1,3,14.75
2014,5,1,4,14.5
2014,5,1,5,13.8
2014,5,1,6,13.65
2014,5,1,7,13.5
2014,5,1,8,13.65
2014,5,1,9,13.15
2014,5,1,10,13
2014,5,1,11,13.8
2014,5,1,12,14.15
2014,5,1,13,14.3
2014,5,1,14,14.8
2014,5,1,15,14.75
2014,5,1,16,14.9
2014,5,1,17,15.2
2014,5,1,18,15
2014,5,1,19,14.75
2014,5,1,20,14.45
2014,5,1,21,14.3
2014,5,1,22,14.15
2014,5,1,23,13.9
2014,5,2,0,13.7
2014,5,2,1,13.5
2014,5,2,2,13.3
2014,5,2,3,13.2
2014,5,2,4,13
2014,5,2,5,12.9
2014,5,2,6,12.75
2014,5,2,7,12.6
2014,5,2,8,12.5
2014,5,2,9,12.5
2014,5,2,10,12.6
2014,5,2,11,12.4
2014,5,2,12,12.5
2014,5,2,13,12.8
2014,5,2,14,13
2014,5,2,15,13.3
2014,5,2,16,13.3
2014,5,2,17,13.3
2014,5,2,18,13.3
2014,5,2,19,13.3
2014,5,2,20,13
2014,5,2,21,13
2014,5,2,22,13
2014,5,2,23,12.85
2014,5,3,0,12.8
2014,5,3,1,12.6
2014,5,3,2,12.6
2014,5,3,3,12.4
2014,5,3,4,12.4
2014,5,3,5,12.4
2014,5,3,6,12.4
2014,5,3,7,12.35
2014,5,3,8,12.1
2014,5,3,9,12.1
2014,5,3,10,12.2
2014,5,3,11,12.4
2014,5,3,12,12.4
2014,5,3,13,12.4
2014,5,3,14,12.6
2014,5,3,15,12.75
2014,5,3,16,12.8
2014,5,3,17,12.7
2014,5,3,18,12.6
2014,5,3,19,12.5
2014,5,3,20,12.4
2014,5,3,21,12.25
2014,5,3,22,12.1
2014,5,3,23,12.05
2014,5,4,0,11.9
2014,5,4,1,11.9
2014,5,4,2,11.9
2014,5,4,3,11.9
2014,5,4,4,11.85
2014,5,4,5,11.7
2014,5,4,6,11.7
2014,5,4,7,11.55
2014,5,4,8,11.5
2014,5,4,9,11.5
2014,5,4,10,11.5
2014,5,4,11,11.6
2014,5,4,12,11.85
2014,5,4,13,12
2014,5,4,14,12.25
2014,5,4,15,12.5
2014,5,4,16,12.6
2014,5,4,17,12.65
2014,5,4,18,12.6
2014,5,4,19,12.4
2014,5,4,20,12.25
2014,5,4,21,12.1
2014,5,4,22,11.9
2014,5,4,23,11.85
2014,5,5,0,11.7
2014,5,5,1,11.5
2014,5,5,2,11.5
2014,5,5,3,11.4
2014,5,5,4,11.2
2014,5,5,5,11.15
2014,5,5,6,11.1
2014,5,5,7,11.5
2014,5,5,8,11.45
2014,5,5,9,10.75
2014,5,5,10,10.4
2014,5,5,11,10.65
2014,5,5,12,10.95
2014,5,5,13,11.2
2014,5,5,14,11.65
2014,5,5,15,12
2014,5,5,16,12.25
2014,5,5,17,12.4
2014,5,5,18,12.4
2014,5,5,19,12.1
2014,5,5,20,12.1
2014,5,5,21,11.95
2014,5,5,22,11.9
2014,5,5,23,11.9
2014,5,6,0,11.7
2014,5,6,1,11.7
2014,5,6,2,11.7
2014,5,6,3,11.85
2014,5,6,4,11.75
2014,5,6,5,11.7
2014,5,6,6,11.75
2014,5,6,7,11.65
2014,5,6,8,11.45
2014,5,6,9,11.15
2014,5,6,10,10.8
2014,5,6,11,11.35
2014,5,6,12,11.7
2014,5,6,13,11.9
2014,5,6,14,12.55
2014,5,6,15,12.75
2014,5,6,16,13
2014,5,6,17,13.15
2014,5,6,18,13.35
2014,5,6,19,12.9
2014,5,6,20,12.7
2014,5,6,21,12.55
2014,5,6,22,12.4
2014,5,6,23,12.4
2014,5,7,0,12.4
2014,5,7,1,12.4
2014,5,7,2,12.25
2014,5,7,3,12.15
2014,5,7,4,12.65
2014,5,7,5,12.3
2014,5,7,6,12.5
2014,5,7,7,12.25
2014,5,7,8,11.8
2014,5,7,9,11.6
2014,5,7,10,11.65
2014,5,7,11,11.2
2014,5,7,12,11.4
2014,5,7,13,12.05
2014,5,7,14,12.8
2014,5,7,15,13.55
2014,5,7,16,13.25
2014,5,7,17,13.15
2014,5,7,18,13.4
2014,5,7,19,13.15
2014,5,7,20,13
2014,5,7,21,13.15
2014,5,7,22,12.65
2014,5,7,23,12.4
2014,5,8,0,12.55
2014,5,8,1,12.45
2014,5,8,2,12.1
2014,5,8,3,12.25
2014,5,8,4,12.2
2014,5,8,5,11.45
2014,5,8,6,11.3
2014,5,8,7,10.8
2014,5,8,8,10.8
2014,5,8,9,10.7
2014,5,8,10,10.55
2014,5,8,11,11.4
2014,5,8,12,11.4
2014,5,8,13,11.85
2014,5,8,14,12.65
2014,5,8,15,14.15
2014,5,8,16,13.7
2014,5,8,17,13.75
2014,5,8,18,13.45
2014,5,8,19,13.8
2014,5,8,20,13.65
2014,5,8,21,12.7
2014,5,8,22,12.5
2014,5,8,23,12.2
2014,5,9,0,12.35
2014,5,9,1,12
2014,5,9,2,11.8
2014,5,9,3,11.55
2014,5,9,4,11.35
2014,5,9,5,11.2
2014,5,9,6,11.05
2014,5,9,7,10.9
2014,5,9,8,10.8
2014,5,9,9,10.7
2014,5,9,10,11.25
2014,5,9,11,11.15
2014,5,9,12,11.85
2014,5,9,13,11.65
2014,5,9,14,12.4
2014,5,9,15,12.75
2014,5,9,16,12.9
2014,5,9,17,13.1
2014,5,9,18,12.55
2014,5,9,19,12.6
2014,5,9,20,12.3
2014,5,9,21,12.2
2014,5,9,22,12.45
2014,5,9,23,12.05
2014,5,10,0,11.9
2014,5,10,1,12.05
2014,5,10,2,12.05
2014,5,10,3,11.5
2014,5,10,4,11.4
2014,5,10,5,11.3
2014,5,10,6,11.4
2014,5,10,7,11.5
2014,5,10,8,11.45
2014,5,10,9,11.45
2014,5,10,10,11.3
2014,5,10,11,11.2
2014,5,10,12,12.1
2014,5,10,13,12.4
2014,5,10,14,12.4
2014,5,10,15,12.4
2014,5,10,16,12.45
2014,5,10,17,12.6
2014,5,10,18,12.25
2014,5,10,19,11.9
2014,5,10,20,11.9
2014,5,10,21,11.9
2014,5,10,22,11.9
2014,5,10,23,11.9
2014,5,11,0,11.95
2014,5,11,1,12
2014,5,11,2,12
2014,5,11,3,12.1
2014,5,11,4,12.1
2014,5,11,5,12
2014,5,11,6,11.9
2014,5,11,7,11.9
2014,5,11,8,11.9
2014,5,11,9,11.9
2014,5,11,10,12.4
2014,5,11,11,13
2014,5,11,12,13
2014,5,11,13,13.65
2014,5,11,14,13.95
2014,5,11,15,14.9
2014,5,11,16,14.7
2014,5,11,17,14.6
2014,5,11,18,14.75
2014,5,11,19,14.35
2014,5,11,20,14.3
2014,5,11,21,14.15
2014,5,11,22,13.8
2014,5,11,23,13.75
2014,5,12,0,13.9
2014,5,12,1,13.95
2014,5,12,2,14.3
2014,5,12,3,13.35
2014,5,12,4,13.25
2014,5,12,5,13.4
2014,5,12,6,12.85
2014,5,12,7,12.7
2014,5,12,8,12.7
2014,5,12,9,11.9
2014,5,12,10,12.1
